country_name,year,gdp_per_capita_usd
France,1975,6616.77
Germany,1975,6259.21
Italy,1975,4116.46
Netherlands,1975,7346.3
Spain,1975,3207.54
United Kingdom,1975,4299.75
France,1976,6792.31
Germany,1976,6659.17
Italy,1976,4042.39
Netherlands,1976,7937.35
Spain,1976,3276.97
United Kingdom,1976,4138.17
France,1977,7458.76
Germany,1977,7711.1
Italy,1977,4614.21
Netherlands,1977,9180.3
Spain,1977,3625.0
United Kingdom,1977,4681.44
France,1978,9166.59
Germany,1978,9516.78
Italy,1978,5623.43
Netherlands,1978,11195.84
Spain,1978,4353.33
United Kingdom,1978,5976.94
France,1979,11062.57
Germany,1979,11322.35
Italy,1979,7006.4
Netherlands,1979,12817.38
Spain,1979,5766.09
United Kingdom,1979,7804.76
France,1980,12565.16
Germany,1980,12182.78
Italy,1980,8476.41
Netherlands,1980,13812.16
Spain,1980,6204.14
United Kingdom,1980,10032.06
France,1981,10955.9
Germany,1981,10246.48
Italy,1981,7640.4
Netherlands,1981,11537.4
Spain,1981,5367.33
United Kingdom,1981,9599.31
France,1982,10359.89
Germany,1982,9950.06
Italy,1982,7573.94
Netherlands,1982,11088.95
Spain,1982,5156.02
United Kingdom,1982,9146.08
France,1983,9862.28
Germany,1983,9900.49
Italy,1983,7850.63
Netherlands,1983,10696.08
Spain,1983,4475.3
United Kingdom,1983,8691.52
France,1984,9311.89
Germany,1984,9347.29
Italy,1984,7757.55
Netherlands,1984,9991.84
Spain,1984,4486.78
United Kingdom,1984,8179.19
France,1985,9657.02
Germany,1985,9464.12
Italy,1985,8009.1
Netherlands,1985,9940.74
Spain,1985,4696.3
United Kingdom,1985,8652.22
France,1986,13430.48
Germany,1986,13511.15
Italy,1986,11341.09
Netherlands,1986,13804.14
Spain,1986,6508.85
United Kingdom,1986,10611.11
France,1987,16175.71
Germany,1987,16738.61
Italy,1987,14267.54
Netherlands,1987,16734.15
Spain,1987,8233.73
United Kingdom,1987,13118.59
France,1988,17549.64
Germany,1988,17996.98
Italy,1988,15780.95
Netherlands,1988,17770.62
Spain,1988,9696.19
United Kingdom,1988,15987.17
France,1989,17547.26
Germany,1989,17829.46
Italy,1989,16424.43
Netherlands,1989,17423.3
Spain,1989,10674.34
United Kingdom,1989,16239.28
