leader,start_date,end_date,duration_days
Giovanni Leone,1968-06-25,1968-11-19,147
Mariano Rumor,1968-12-13,1970-07-06,570
Emilio Colombo,1970-08-06,1972-01-15,527
Giulio Andreotti,1972-02-18,1973-06-12,480
Mariano Rumor,1973-07-08,1974-11-23,503
Aldo Moro,1974-11-23,1976-07-30,615
Giulio Andreotti,1976-07-30,1979-08-05,1101
Francesco Cossiga,1979-08-05,1980-10-18,440
Giovanni Spadolini,1981-06-28,1982-11-30,520
Amintore Fanfani,1982-11-30,1983-08-04,247
Bettino Craxi,1983-08-04,1987-04-18,1353
Amintore Fanfani,1987-04-18,1987-07-29,102
Ciriaco De Mita,1988-04-13,1989-07-12,455
Giulio Andreotti,1989-07-23,1992-06-28,1071
Giuliano Amato,1992-06-28,1993-04-29,305
Carlo Azeglio Ciampi,1993-04-29,1994-05-11,377
Silvio Berlusconi,1994-05-11,1995-01-17,251
Lamberto Dini,1995-01-17,1996-05-18,487
Romano Prodi,1996-05-18,1998-10-21,886
Massimo Dalema,1998-10-21,2000-04-26,553
Giuliano Amato,2000-04-26,2001-06-11,411
Silvio Berlusconi,2001-06-11,2006-05-17,1801
Romano Prodi,2006-05-17,2008-05-08,722
Silvio Berlusconi,2008-05-08,2011-11-16,1287
Mario Monti,2011-11-16,2013-04-28,529
Enrico Letta,2013-04-28,2014-02-22,300
Matteo Renzi,2014-02-22,2016-12-12,1024
Paolo Gentiloni Silveri,2016-12-12,2018-06-01,536
Giuseppe Conte,2018-06-01,2021-02-13,988
Mario Draghi,2021-02-13,2022-10-22,616
Giorgia Meloni,2022-10-22,NA,1362
